,Accession,Abundance Ratio: (Heavy) / (Light)
103,Q9NVP1,0.85
102,Q9NVU7,0.852
101,P68363,0.853
100,P40429,0.854
99,Q9UGY1,0.855
98,Q14839,0.855
97,Q969Q0,0.856
94,P48643,0.859
96,Q9Y2L1,0.859
95,Q9NY93,0.859
93,P35579,0.86
92,Q92769,0.862
91,P18124,0.865
90,P78527,0.866
89,Q00535,0.868
88,Q9H0A0,0.871
87,P40227,0.872
86,P63241,0.872
85,Q9HCC0,0.873
84,P62805,0.874
83,P25398,0.876
82,P06899,0.881
81,P05141,0.883
80,P46779,0.89
79,Q14980,0.892
78,P62280,0.894
77,Q9UQ80,0.897
76,O76021,0.897
75,P31943,0.899
74,P68431,0.9
73,O60814,0.9
72,P61513,0.902
70,P12236,0.905
71,P62854,0.905
69,Q96GQ7,0.909
68,P62244,0.917
67,P54886,0.919
66,Q9UIR0,0.92
65,P42766,0.921
64,P07900,0.921
63,P30050,0.922
62,Q92841,0.923
61,Q99832,0.926
60,P09651,0.927
58,Q7KZF4,0.928
59,O43143,0.928
57,Q08211,0.93
56,P23526,0.938
55,Q9UNX3,0.943
54,P0C0S5,0.949
53,P41252,0.949
52,Q8IY37,0.951
51,P49368,0.959
50,O14654,0.961
49,Q96NE9,0.971
48,O75592,0.974
47,Q00325,0.983
46,Q12846,0.984
45,P62910,0.985
44,Q4VCS5,0.987
43,Q07020,0.989
42,P22626,0.997
41,P46776,0.999
40,P41091,1.007
39,Q8TDN6,1.01
38,Q9NRZ9,1.016
37,P46778,1.017
36,P16615,1.02
35,P26373,1.02
34,Q86WX3,1.089
33,Q9UG63,1.109
32,P37108,1.113
31,P50747,1.114
30,P43246,1.122
29,Q99873,1.188
28,Q02878,1.194
27,P49207,1.199
26,Q6P2Q9,1.205
25,P22492,1.221
24,Q15003,1.287
23,P33993,1.299
22,Q15717,1.314
21,P83731,1.544
20,P17812,1.551
19,Q08945,1.729
18,Q9NZI8,1.787
17,P15924,2.226
16,P78371,2.372
15,Q5QJE6,2.685
14,Q02040,3.822
13,Q5C9Z4,7.35
1,P50416,100.0
2,O60841,100.0
3,Q8N0X4,100.0
4,Q9H2G2,100.0
5,O75694,100.0
10,Q9Y265,100.0
7,O95782,100.0
8,Q9Y4W2,100.0
9,Q8N4C6,100.0
11,Q99766,100.0
12,Q9Y5A9,100.0
6,Q9H9A6,100.0
0,P78362,100.0
